V (V)	I (mA)
-3.000289	-0.001652077
-2.900241	-0.001481922
-2.800087	-0.00132588
-2.700029	-0.001181201
-2.599654	-0.001037765
-2.461431	-0.0008747097
-2.382787	-0.0007883137
-2.297891	-0.0006994331
-2.200431	-0.0006106851
-2.100016	-0.0005248983
-2.000052	-0.0004470679
-1.899905	-0.0003804591
-1.800052	-0.0003166389
-1.700031	-0.0002576943
-1.599968	-0.0002087103
-1.500131	-0.0001690034
-1.400061	-0.000133826
-1.300067	-0.0001061594
-1.20015	-8.23695e-05
-1.10005	-6.207578e-05
-1.000132	-4.661782e-05
-0.9001013	-3.467091e-05
-0.8000131	-2.511548e-05
-0.7001323	-1.747872e-05
-0.6000696	-1.168588e-05
-0.5000376	-7.444298e-06
-0.4001636	-4.442466e-06
-0.3000171	-2.505493e-06
-0.2000578	-1.028243e-06
-0.1000164	-4.553222e-07
8.019797e-06	-6.100395e-08
0.1000422	2.649405e-07
0.2000534	1.44682e-06
0.3000273	5.259162e-06
0.4001667	1.898194e-05
0.5000377	5.908775e-05
0.600082	0.0001532784
0.7000948	0.0003287294
0.7999709	0.0006044816
0.9000911	0.0009746869
1.000099	0.001415797
1.100014	0.001916151
1.200119	0.002465316
1.300031	0.003052342
1.400055	0.003668227
1.500119	0.004301271
1.599969	0.004939819
1.700012	0.005609363
1.800024	0.006274978
1.899905	0.00697889
2.000072	0.007692866
2.100017	0.008406193
2.20059	0.009157069
2.300355	0.009880983
2.400079	0.01060211
2.499872	0.01138385
2.599669	0.01214173
2.700067	0.01299381
2.800085	0.01379873
2.900158	0.0146791
3.000266	0.01554964
